,review,rating,sbjText,actText,actVerbNeg,objText,locText,sbjSentType,objSentType,objSentFromSbjType,locSentType,sbjSentScore,objSentScore,objSentFromSbjScore,actVerbText,locSentScore,actLemma,actVerbTense,foundKeyword,aggKeyword,count
339,87968,bad,they,seen,0.0,food,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,see,0.0,see,past,food,food,1
341,87968,bad,u,stand,0.0,to grab your drink from the other side of the table,,neutral,negative,positive,neutral,0.0,-0.326179,0.233906,stand,0.0,stand,present,table,dining,1
350,87968,bad,the midnight buffet,is,0.0,a joke,,positive,negative,neutral,neutral,0.575259,-0.479017,0.0,be,0.0,be,present,buffet,food,1
351,87968,bad,people,filling,0.0,plates sky high only to leave it,,neutral,negative,neutral,neutral,0.0,-0.390127,0.0,fill,0.0,fill,present,people,people,1
353,87968,bad,people,stand,0.0,right in front of u,,neutral,positive,positive,neutral,0.0,0.489634,0.233906,stand,0.0,stand,present,people,people,1
360,87968,bad,the managers,were,0.0,more concerned with the uniform of their employees then the the people fighting in the buffet area over tables,,neutral,negative,neutral,neutral,0.0,-0.270211,0.0,be,0.0,be,past,table,dining,1
361,87968,bad,the the people,fighting,0.0,,in the buffet area over tables,neutral,neutral,neutral,neutral,0.0,0.0,0.0,fight,0.0,fight,present,people,people,1
363,87968,bad,people in our country,are,0.0,rude too,,neutral,negative,neutral,neutral,0.0,-0.786447,0.0,be,0.0,be,present,people,people,1
364,87968,bad,people in our country,to deal,0.0,with a unhappy customer dont u think,,neutral,negative,positive,neutral,0.0,-0.781346,0.347543,deal,0.0,to deal,future,people,people,1
365,87968,bad,you,will make,0.0,on this ship,,neutral,neutral,positive,neutral,0.0,0.0,0.269287,MAKE,0.0,WILL MAKE,future,ship,ship,1
369,87968,bad,you,get,1.0,a balcony room near the back of the ship,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,get,0.0,get,future,ship,ship,1
394,107396,good,we,noticed,0.0,that we had boarded from the wrong door therefore we were not shown to our cabins by the white gloved attendants i had read about but a girl offered to show us where our cabins were,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,notice,0.0,notice,past,board,ship,1
399,107396,good,we,been,0.0,supposed to board from the middle door,,neutral,negative,neutral,neutral,0.0,-0.604612,0.0,be,0.0,be,past,board,ship,1
400,107396,good,we,supposed,0.0,to board from the middle door,,neutral,neutral,negative,neutral,0.0,0.0,-0.619947,suppose,0.0,suppose,past,board,ship,1
424,50642,bad,i,did,0.0,not board the ship,,neutral,negative,neutral,neutral,0.0,-0.421722,0.0,do,0.0,do,past,board,ship,1
425,50642,bad,the ship,board,1.0,,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,board,0.0,board,past,board,ship,1
426,50642,bad,the ship,did,0.0,not leave the port,,neutral,negative,neutral,neutral,0.0,-0.409914,0.0,do,0.0,do,past,ship,ship,1
427,50642,bad,the ship,leave,1.0,the port,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,leave,0.0,leave,past,ship,ship,1
430,50642,bad,the food,was,0.0,terrible quality,,neutral,negative,neutral,neutral,0.0,-0.797217,0.0,be,0.0,be,past,food,food,1
441,50642,bad,the few people,could speak,0.0,some english,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,speak,0.0,could speak,future,people,people,1
442,50642,bad,the few people who could speak some english very broken,were,0.0,horrid and full of attitude,,negative,negative,neutral,neutral,-0.511731,-0.805003,0.0,be,0.0,be,past,people,people,1
454,50642,bad,no food,is,0.0,,,negative,neutral,neutral,neutral,-0.566014,0.0,0.0,be,0.0,be,present,food,food,1
455,50642,bad,i,tried,0.0,calling room service,,neutral,neutral,negative,neutral,0.0,0.0,-0.554058,try,0.0,try,past,room service,dining,1
456,50642,bad,i,tried calling,0.0,room service,,neutral,positive,negative,neutral,0.0,0.232308,-0.536726,call,0.0,try call,present,room service,dining,1
460,50642,bad,i,to try and kill,0.0,time,,neutral,neutral,negative,neutral,0.0,0.0,-0.512787,try,0.0,To try and kill,future,time,time,1
461,50642,bad,i,went,0.0,time,,neutral,neutral,negative,neutral,0.0,0.0,-0.251108,go,0.0,go,past,time,time,1
465,50642,bad,the bed,was,0.0,two twins put together so it was very uncomfortable,,neutral,negative,neutral,neutral,0.0,-0.525464,0.0,be,0.0,be,past,table,dining,1
468,50642,bad,the waiter,speak,1.0,english,,positive,neutral,neutral,neutral,0.314981,0.0,0.0,speak,0.0,speak,future,waiter,dining,1
472,92304,bad,msc and their ship magnifica,would be,0.0,a superior experience but very disillusioned by the service provided,,neutral,negative,neutral,neutral,0.0,-0.741183,0.0,be,0.0,would be,future,ship,ship,1
473,92304,bad,by the service,very disillusioned,0.0,msc and their ship magnifica,,neutral,neutral,negative,neutral,0.0,0.0,-0.692441,disillusion,0.0,very disillusion,past,ship,ship,1
478,92304,bad,we,took,0.0,a long time,,neutral,negative,neutral,neutral,0.0,-0.285717,0.0,take,0.0,take,past,time,time,1
483,92304,bad,we,to find,0.0,our accommodation which of course involved expense and inconvenience pulling our suitcases onto boats and buses,,neutral,negative,negative,neutral,0.0,-0.372293,-0.243341,find,0.0,to find,future,boat,ship,1
487,92304,bad,we,managed,0.0,to board the magnifica more,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,manage,0.0,manage,past,board,ship,1
488,92304,bad,we,managed to board,0.0,the magnifica more,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,board,0.0,manage to board,future,board,ship,1
492,92304,bad,two service or gratuity charges,are,0.0,added to everything you buy on board,,negative,positive,neutral,neutral,-0.318298,0.53689,0.0,be,0.0,be,present,board,ship,1
493,92304,bad,two service or gratuity charges,are added,0.0,to everything you buy on board,,negative,positive,positive,neutral,-0.318298,0.36744,0.204415,add,0.0,be add,past,board,ship,1
496,92304,bad,the food,is,0.0,a repetitive menu,,neutral,negative,neutral,neutral,0.0,-0.883409,0.0,be,0.0,be,present,food,food,1
501,92304,bad,we,have enjoyed,0.0,shuttle buses meeting the ship,,neutral,neutral,positive,neutral,0.0,0.0,0.682535,enjoy,0.0,have enjoy,past,ship,ship,1
503,92304,bad,we,spoke,0.0,other passengers,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,speak,0.0,speak,past,passengers,people,1
506,92304,bad,the entertainment,was,0.0,poor compared with other ships,,positive,negative,neutral,neutral,0.387758,-0.766533,0.0,be,0.0,be,past,entertainment,entertainment,1
507,92304,bad,the entertainment was poor,compared,0.0,with other ships we have travelled on,,negative,neutral,neutral,neutral,-0.770348,0.0,0.0,compare,0.0,compare,past,entertainment,entertainment,1
508,92304,bad,we,have travelled,0.0,other ships,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,travel,0.0,have travel,past,ship,ship,1
510,92304,bad,he,had had,0.0,the time,,neutral,neutral,negative,neutral,0.0,0.0,-0.218434,have,0.0,have have,past,time,time,1
513,92304,bad,you,prepared,0.0,to join long long queues for everything from initial registration on board,,neutral,negative,positive,neutral,0.0,-0.215279,0.232834,prepare,0.0,prepare,past,board,ship,1
514,92304,bad,you,queues,0.0,for everything from initial registration on board to getting your cup of coffee from the machine at breakfast and paying top dollar,,neutral,positive,negative,neutral,0.0,0.47112,-0.291219,queue,0.0,queue,present,board,ship,1
532,260521,good,the buffet,had,0.0,a nice selection of pasta dishes,,positive,positive,neutral,neutral,0.402791,0.838772,0.0,have,0.0,have,past,buffet,food,1
533,260521,good,mediterranean foods american foods,baked,0.0,chicken,,positive,positive,neutral,neutral,0.479701,0.259415,0.0,bake,0.0,bake,past,food,food,1
536,260521,good,very smooth process,were,0.0,off boat by 700 am,,positive,neutral,neutral,neutral,0.723057,0.0,0.0,be,0.0,be,past,boat,ship,1
537,260521,good,1sometimes,to get,0.0,a drink,,neutral,positive,neutral,neutral,0.0,0.383746,0.0,get,0.0,to get,future,times,time,1
543,260526,bad,the cruise ship,was,0.0,average quality,,negative,neutral,neutral,neutral,-0.230926,0.0,0.0,be,0.0,be,past,cruise ship,ship,1
544,260526,bad,the customer service,is,0.0,horrible,,positive,negative,neutral,neutral,0.3879,-0.791747,0.0,be,0.0,be,present,customer service,service,1
545,260526,bad,the customer service on the ship,was,0.0,terrible,,positive,negative,neutral,neutral,0.260297,-0.739683,0.0,be,0.0,be,past,customer service,service,1
566,260526,bad,food in restaurant,is,0.0,bland and all tin food,,neutral,negative,neutral,neutral,0.0,-0.917022,0.0,be,0.0,be,present,food,food,1
570,260526,bad,the waiters in marco polo restaurant,made,0.0,faces,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,make,0.0,make,past,waiter,dining,1
571,260526,bad,the waiters in marco polo restaurant,looked,0.0,like somebody who had been kept in prison for his whole life,,neutral,negative,neutral,neutral,0.0,-0.412586,0.0,look,0.0,look,past,waiter,dining,1
574,260526,bad,food,to pick,0.0,from outside,,neutral,negative,neutral,neutral,0.0,-0.202713,0.0,pick,0.0,to pick,past,food,food,1
575,260526,bad,the only good aspect,was,0.0,the entertainment and kids club,,negative,positive,neutral,neutral,-0.506358,0.383718,0.0,be,0.0,be,past,entertainment,entertainment,1
577,260526,bad,the restaurant manager in buffet,was,0.0,very kind,,positive,positive,neutral,neutral,0.395851,0.504066,0.0,be,0.0,be,past,buffet,food,1
580,262747,good,the people,are writing,0.0,reviews saying bad things about this ship or its service,,neutral,negative,positive,neutral,0.0,-0.708281,0.297943,write,0.0,be write,present,ship,ship,1
581,262747,good,i,try,0.0,to give an unbiased opinion of this ship both pros and cons of which there are few cons,,neutral,positive,neutral,neutral,0.0,0.806359,0.0,try,0.0,try,future,ship,ship,1
582,262747,good,i,try to give,0.0,an unbiased opinion of this ship both pros and cons of which there are few cons,,neutral,positive,neutral,neutral,0.0,0.809568,0.0,give,0.0,try to give,future,ship,ship,1
605,262747,good,sure,making,0.0,the ship is spotless,,neutral,positive,neutral,neutral,0.0,0.282665,0.0,make,0.0,make,present,ship,ship,1
607,262747,good,cleanliness,is,0.0,a top priority onboard,,positive,positive,neutral,neutral,0.492041,0.473555,0.0,be,0.0,be,present,board,ship,1
610,262747,good,that,has,0.0,what time said pool closes,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,has,0.0,has,present,time,time,1
616,262747,good,i,have,0.0,no idea what some people are complaining about in regards to service aboard,,neutral,negative,neutral,neutral,0.0,-0.620762,0.0,have,0.0,have,present,board,ship,1
635,259609,bad,they,send,0.0,to a sort of holding pen where you have to hang about with no water etc for ages in our case 15 hours they then call you through to join another queue to check in which takes an eternity you then have to queue some more to go through security and then queue to actually get on the ship,,neutral,negative,neutral,neutral,0.0,-0.219357,0.0,send,0.0,send,present,ship,ship,1
646,259609,bad,the whole ship,looks,0.0,lovely and the list of available facilities,,neutral,positive,neutral,neutral,0.0,0.745165,0.0,look,0.0,look,present,ship,ship,1
659,259609,bad,the water jets and fountains in the main pool areas,were,0.0,turned on 2 times,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,past,times,time,1
668,259609,bad,the whole ship,was,0.0,so disappointing,,neutral,negative,neutral,neutral,0.0,-0.869098,0.0,be,0.0,be,past,ship,ship,1
669,259609,bad,the main buffet area,is,0.0,on deck,,negative,neutral,neutral,neutral,-0.241661,0.0,0.0,be,0.0,be,present,buffet,food,1
673,259609,bad,things,were,0.0,never enough tables or enough food,,neutral,negative,neutral,neutral,0.0,-0.804824,0.0,be,0.0,be,past,table,dining,1
678,259609,bad,the food in the main restaurant in the evening,was,0.0,,,negative,neutral,neutral,neutral,-0.23577,0.0,0.0,be,0.0,be,past,food,food,1
680,262748,bad,me,saying,0.0,it is a beautiful ship,,neutral,positive,negative,neutral,0.0,0.638921,-0.326794,say,0.0,say,present,ship,ship,1
681,262748,bad,this,is,0.0,your first time cruising,,neutral,positive,neutral,neutral,0.0,0.412504,0.0,be,0.0,be,present,time,time,1
685,262748,bad,msc,allow,1.0,you to brink any drinks or food on board at all or a bottle of wine like other cruise lines,,neutral,positive,neutral,neutral,0.0,0.302812,0.0,allow,0.0,allow,future,board,ship,1
692,262748,bad,divina you,cant get,0.0,to the front of the ship outside,,neutral,negative,negative,neutral,0.0,-0.258655,-0.79121,get,0.0,cant get,present,ship,ship,1
696,262748,bad,ship,is,0.0,elegant roomy,,neutral,positive,neutral,neutral,0.0,0.883371,0.0,be,0.0,be,present,ship,ship,1
698,262748,bad,buffet on ship,is,0.0,the best food we have had on a cruise ship,,neutral,positive,neutral,neutral,0.0,0.388946,0.0,be,0.0,be,present,buffet,food,1
699,262748,bad,a cruise ship,sit,0.0,even more desirable,,negative,positive,negative,neutral,-0.220167,0.350919,-0.225357,sit,0.0,sit,present,cruise ship,ship,1
702,262748,bad,ship,is,0.0,wide,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,present,ship,ship,1
710,262748,bad,liquor on board,is,0.0,small variety,,neutral,positive,neutral,neutral,0.0,0.25716,0.0,be,0.0,be,present,board,ship,1
711,262748,bad,they,do,0.0,not deliver to your stateroom and give it to you in plastic bags unlike others who do deliver in cardboard carry case,,neutral,negative,neutral,neutral,0.0,-0.761612,0.0,do,0.0,do,present,board,ship,1
729,262748,bad,so bottom line,is,0.0,ship buffet,,negative,neutral,neutral,neutral,-0.621123,0.0,0.0,be,0.0,be,present,buffet,food,1
733,104443,good,msc divina,is,0.0,a sister ship of msc fantasia,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,present,ship,ship,1
736,104443,good,the ship,is,0.0,shiny,,neutral,positive,neutral,neutral,0.0,0.304531,0.0,be,0.0,be,present,ship,ship,1
738,104443,good,it,has,0.0,proud to keep their ships in an immaculate condition,,neutral,positive,neutral,neutral,0.0,0.862373,0.0,has,0.0,has,present,ship,ship,1
742,104443,good,we,were,0.0,on board,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,past,board,ship,1
754,104443,good,we,thought,0.0,the food,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,think,0.0,think,past,food,food,1
757,104443,good,the ship,is,0.0,completely new,,neutral,positive,neutral,neutral,0.0,0.444349,0.0,be,0.0,be,present,ship,ship,1
760,104443,good,we,had,0.0,wonderful lunch served on the pool deck with different food every day and several hot dishes to choose from unlike last year when they only had one hot dish,,neutral,positive,neutral,neutral,0.0,0.429708,0.0,have,0.0,have,past,food,food,1
768,104443,good,entertainment,took,0.0,place,,positive,positive,neutral,neutral,0.353007,0.279888,0.0,take,0.0,take,past,entertainment,entertainment,1
770,104443,good,we,met,0.0,other passengers from the us canada switzerland germany france spain and italy in yacht club,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,meet,0.0,meet,past,passengers,people,1
777,104443,good,the ship,is,0.0,amazing,,neutral,positive,neutral,neutral,0.0,0.673873,0.0,be,0.0,be,present,ship,ship,1
780,86218,bad,the ship itself,was,0.0,fine,,neutral,positive,neutral,neutral,0.0,0.570784,0.0,be,0.0,be,past,ship,ship,1
